date,meal,food_id,qty,note,source
2026-01-01,pranzo,chapati,90,"thali in una bettola: pane piatto, dal, curry di patate e verdure; porzione standard assunta",foto
2026-01-01,pranzo,lenticchie_secche,80,,foto
2026-01-01,pranzo,patate,150,,foto
2026-01-01,pranzo,carote,100,,foto
2026-01-01,cena,chapati,90,pane piatto con curry di verdure a foglia; porzione standard assunta,foto
2026-01-01,cena,spinaci,120,,foto
2026-01-02,colazione,uovo_intero,2,colazione in hotel: uova e pane,foto
2026-01-02,colazione,pane_bianco,60,,foto
2026-01-02,colazione,caffe_espresso,1,,foto
2026-01-02,pranzo,riso_bianco,120,"thali: riso, pane piatto, verdure a foglia e curry di legumi; porzione standard assunta",foto
2026-01-02,pranzo,chapati,90,,foto
2026-01-02,pranzo,spinaci,100,,foto
2026-01-02,pranzo,ceci_scatola,150,,foto
2026-01-03,colazione,caffe_espresso,1,caffe' e un piatto con polpetta di carne e uovo,foto
2026-01-03,colazione,carne_macinata_manzo,100,porzione standard assunta,foto
2026-01-03,colazione,uovo_intero,1,,foto
2026-01-03,pranzo,pane_integrale,120,quattro crostini di avocado toast con semi; porzione standard assunta,foto
2026-01-03,pranzo,avocado,120,,foto
2026-01-03,cena,ceci_scatola,200,curry di ceci con riso speziato; il dosa a fianco non e' registrato,foto
2026-01-03,cena,riso_bianco,100,porzione standard assunta,foto
2026-01-04,colazione,riso_bianco,100,colazione in hotel: riso speziato e caffe',foto
2026-01-04,colazione,caffe_espresso,1,,foto
2026-01-04,pranzo,riso_bianco,150,riso pilaf con yogurt; porzione standard assunta,foto
2026-01-04,pranzo,yogurt_bianco_intero,80,,foto
2026-01-04,cena,carne_macinata_manzo,120,polpette di carne macinata speziata con pane piatto; porzione standard assunta,foto
2026-01-04,cena,chapati,90,,foto
2026-01-05,pranzo,riso_bianco,120,"thali: riso, dal e curry; porzione standard assunta",foto
2026-01-05,pranzo,lenticchie_secche,80,,foto
2026-01-05,pranzo,chapati,90,,foto
2026-01-05,cena,spinaci,200,curry verde di spinaci con cubetti di formaggio fresco e pane piatto; porzione standard assunta,foto
2026-01-05,cena,mozzarella,60,paneer,foto
2026-01-05,cena,chapati,90,,foto
2026-01-06,colazione,cappuccino,1,cappuccino al bar,foto
2026-01-06,pranzo,chapati,90,"thali: pane piatto, dal, verdure a foglia e curry di patate; porzione standard assunta",foto
2026-01-06,pranzo,lenticchie_secche,80,,foto
2026-01-06,pranzo,spinaci,120,,foto
2026-01-06,pranzo,patate,150,,foto
2026-01-06,spuntino,torta_cioccolato,100,fetta di torta al cioccolato; porzione standard assunta,foto
2026-01-07,colazione,uovo_intero,2,colazione: omelette con pane piatto e caffe',foto
2026-01-07,colazione,chapati,80,porzione standard assunta,foto
2026-01-07,colazione,caffe_espresso,1,,foto
2026-01-07,pranzo,ceci_scatola,250,pentolone di curry di ceci servito con riso e dal; il dosa nella stessa serie non e' registrato,foto
2026-01-07,pranzo,riso_bianco,120,porzione standard assunta,foto
2026-01-07,pranzo,lenticchie_secche,70,,foto
2026-01-07,spuntino,biscotto,4,dolcetti da forno con caffe'; porzione standard assunta,foto
2026-01-07,spuntino,caffe_espresso,1,,foto
2026-01-08,pranzo,noodles_saltati,250,noodles saltati con verdure a foglia e una ciotola di curry di patate; porzione standard assunta,foto
2026-01-08,pranzo,spinaci,80,,foto
2026-01-08,pranzo,patate,150,,foto
2026-01-08,spuntino,masala_chai,200,te' al latte,foto
2026-01-08,cena,momo_nepalese,250,piatto di momo al vapore con ciotola di salsa; porzione standard assunta,foto
2026-01-09,colazione,uovo_intero,2,"colazione: uovo, melone, un dolce lievitato e caffe'",foto
2026-01-09,colazione,melone,150,,foto
2026-01-09,colazione,croissant_vuoto,1,,foto
2026-01-09,colazione,caffe_espresso,1,,foto
2026-01-09,pranzo,riso_bianco,150,"thali: riso, dal, verdure e curry di patate; porzione standard assunta",foto
2026-01-09,pranzo,lenticchie_secche,80,,foto
2026-01-09,pranzo,spinaci,80,,foto
2026-01-09,pranzo,patate,120,,foto
2026-01-09,cena,pizza_margherita,1,"pizzeria a Kathmandu, pizza rossa con mozzarella",foto
2026-01-10,colazione,pane_bianco,70,"colazione: toast, uovo e caffe'",foto
2026-01-10,colazione,uovo_intero,1,,foto
2026-01-10,colazione,caffe_espresso,1,,foto
2026-01-10,pranzo,riso_bianco,150,"thali nepalese (dal bhat): riso, dal di lenticchie, verdure a foglia e curry di patate; porzione standard assunta",foto
2026-01-10,pranzo,lenticchie_secche,80,,foto
2026-01-10,pranzo,spinaci,100,,foto
2026-01-10,pranzo,patate,150,,foto
2026-01-10,cena,momo_nepalese,200,piatto di momo al vapore con salsa; porzione standard assunta,foto
2026-01-11,pranzo,patate,300,ciotola di curry giallo di patate in una locanda; porzione standard assunta,foto
2026-01-11,pranzo,curry_polvere,5,,foto
2026-01-11,spuntino,masala_chai,200,te' al latte in bicchiere,foto
2026-01-12,colazione,uovo_intero,2,colazione in hotel: uova e un croissant,foto
2026-01-12,colazione,croissant_vuoto,1,,foto
2026-01-12,colazione,caffe_espresso,1,,foto
2026-01-12,cena,riso_bianco,120,"ristorante centroasiatico: stufato in coccio con legumi e carote, riso e pane piatto; porzione standard assunta",foto
2026-01-12,cena,ceci_scatola,150,,foto
2026-01-12,cena,carote,100,,foto
2026-01-12,cena,chapati,90,,foto
2026-01-13,colazione,uovo_intero,3,uova strapazzate con avocado e pane nero,foto
2026-01-13,colazione,avocado,100,,foto
2026-01-13,colazione,pane_segale,80,porzione standard assunta,foto
2026-01-13,pranzo,lenticchie_secche,90,legumi in umido con verdure a foglia e spicchi di piadina; porzione standard assunta,foto
2026-01-13,pranzo,spinaci,120,,foto
2026-01-13,pranzo,piadina,1,,foto
2026-01-14,colazione,uovo_intero,3,uova strapazzate con avocado e pane nero,foto
2026-01-14,colazione,avocado,100,,foto
2026-01-14,colazione,pane_segale,80,porzione standard assunta,foto
2026-01-15,pranzo,recipe:aloo_palak_ceci,1,"stufato verde di spinaci, patate e ceci con pane nero e limone",foto
2026-01-15,pranzo,pane_segale,80,porzione standard assunta,foto
2026-01-15,pranzo,limone,15,,foto
2026-01-16,pranzo,broccoli,200,broccoli e curry giallo di patate; porzione standard assunta,foto
2026-01-16,pranzo,patate,200,,foto
2026-01-16,pranzo,curry_polvere,5,,foto
2026-01-17,pranzo,soia_granulare,70,macinato rosso alla pizzaiola con pane nero; l'hamburger a fianco non e' identificabile,foto
2026-01-17,pranzo,passata_pomodoro,100,,foto
2026-01-17,pranzo,pane_segale,80,porzione standard assunta,foto
2026-01-17,spuntino,banana,1,banana mangiata in bici,foto
2026-01-18,pranzo,lenticchie_secche,90,stufato di lenticchie e verdure con limone e pane nero; porzione standard assunta,foto
2026-01-18,pranzo,carote,100,,foto
2026-01-18,pranzo,spinaci,100,,foto
2026-01-18,pranzo,pane_segale,80,,foto
2026-01-18,spuntino,torta_cioccolato,110,plumcake al cioccolato molto scuro; porzione standard assunta,foto
2026-01-19,colazione,uovo_intero,3,uova strapazzate con avocado su una base scura,foto
2026-01-19,colazione,avocado,100,,foto
2026-01-19,colazione,pane_segale,70,porzione standard assunta,foto
2026-01-20,spuntino,cioccolato_fondente_50,30,scatola di cioccolatini Pierre Marcolini; porzione standard assunta,foto
2026-01-21,pranzo,lenticchie_secche,90,"lenticchie con peperoni, fagioli rossi e verdure a foglia; porzione standard assunta",foto
2026-01-21,pranzo,peperoni,120,,foto
2026-01-21,pranzo,fagioli_neri_scatola,150,in foto sono fagioli rossi,foto
2026-01-21,pranzo,spinaci,80,,foto
2026-01-21,spuntino,yogurt_greco_0,200,ciotola di crema bianca; porzione standard assunta,foto
2026-01-22,cena,pizza_margherita,1,pizza con prosciutto cotto e mozzarella al ristorante,foto
2026-01-22,cena,prosciutto_cotto,50,porzione standard assunta,foto
2026-01-23,pranzo,lenticchie_secche,90,zuppa di legumi con limone e focaccia con pomodorini e cipolla; porzione standard assunta,foto
2026-01-23,pranzo,limone,15,,foto
2026-01-23,pranzo,focaccia,120,,foto
2026-01-23,cena,zuppa_vellutata,300,"vellutata rosa di pomodoro, poi un piatto di couscous con verdure a foglia",foto
2026-01-23,cena,couscous,90,porzione standard assunta,foto
2026-01-23,cena,spinaci,100,,foto
2026-01-24,colazione,pane_segale,80,pane nero con banana e granella di cioccolato,foto
2026-01-24,colazione,banana,1,,foto
2026-01-24,colazione,cioccolato_fondente_85,15,porzione standard assunta,foto
2026-01-24,spuntino,torta_semplice,120,fetta di strudel in rifugio con caffe'; porzione standard assunta,foto
2026-01-24,spuntino,caffe_espresso,1,,foto
2026-01-25,colazione,babka_mandorle,120,girella lievitata al cioccolato e mandorle con cappuccino; porzione standard assunta,foto
2026-01-25,colazione,cappuccino,1,,foto
2026-01-25,pranzo,couscous,90,"couscous con funghi trifolati, una bistecca, avocado, rucola, pane nero e limone; porzione standard assunta",foto
2026-01-25,pranzo,funghi,120,,foto
2026-01-25,pranzo,bistecca_manzo,150,,foto
2026-01-25,pranzo,avocado,80,,foto
2026-01-25,pranzo,rucola,40,,foto
2026-01-25,pranzo,pane_segale,80,,foto
2026-01-26,cena,pasta_semola,110,cena al ristorante: pizzoccheri con patate e formaggio; porzione standard assunta,foto
2026-01-26,cena,patate,100,,foto
2026-01-26,cena,formaggio_semistagionato,50,,foto
2026-01-26,cena,burro,15,,foto
2026-01-27,pranzo,fagioli_neri_scatola,250,fagioli rossi in umido con zucchine al curry e una cucchiaiata di crema bianca; in foto la latta da 410 g,foto
2026-01-27,pranzo,zucchine,200,,foto
2026-01-27,pranzo,curry_polvere,5,,foto
2026-01-27,pranzo,yogurt_greco_0,60,,foto
2026-01-27,spuntino,torta_cioccolato,110,torta al cioccolato molto scura; porzione standard assunta,foto
2026-01-27,cena,piadina,1,piadina/pane piatto,foto
2026-01-28,colazione,uovo_intero,2,uova all'occhio di bue e caffe',foto
2026-01-28,colazione,caffe_espresso,1,,foto
2026-01-28,pranzo,pasta_integrale,110,spaghetti integrali saltati con peperoni e carote; porzione standard assunta,foto
2026-01-28,pranzo,peperoni,120,,foto
2026-01-28,pranzo,carote,100,,foto
2026-01-29,pranzo,uovo_intero,3,uova al tegamino cotte insieme ai ceci con salvia,foto
2026-01-29,pranzo,ceci_scatola,250,porzione standard assunta,foto
2026-01-30,pranzo,ceci_scatola,250,ceci e patate in umido al pomodoro con pane nero; porzione standard assunta,foto
2026-01-30,pranzo,patate,200,,foto
2026-01-30,pranzo,passata_pomodoro,80,,foto
2026-01-30,pranzo,pane_segale,80,,foto
2026-01-30,spuntino,caffe_espresso,1,caffe' e un dolce in rifugio,foto
2026-01-30,spuntino,torta_semplice,100,porzione standard assunta,foto
2026-01-31,pranzo,pizza_base,0.5,"due tranci di pizza in teglia, uno rosso e uno con verdure a foglia e ricotta",foto
2026-01-31,pranzo,passata_pomodoro,60,,foto
2026-01-31,pranzo,spinaci,60,,foto
2026-01-31,pranzo,ricotta_vaccina,50,porzione standard assunta,foto
2026-01-31,spuntino,torta_semplice,130,"fetta di torta farcita di marmellata in rifugio, con latte macchiato; porzione standard assunta",foto
2026-01-31,spuntino,cappuccino,1,,foto
2026-01-31,cena,pomodorini,250,"ciotola di pomodorini con mozzarelline e olive, pane nero a fianco",foto
2026-01-31,cena,mozzarella_proteica,100,porzione standard assunta,foto
2026-01-31,cena,olive,30,,foto
2026-01-31,cena,pane_segale,80,,foto
2026-02-01,colazione,avena_fiocchi,80,"pancake grande di grano saraceno con banana, marmellata scura, burro d'arachidi e noci; porzione standard assunta",foto
2026-02-01,colazione,banana,1,,foto
2026-02-01,colazione,marmellata_fragola,30,marmellata scura ai mirtilli,foto
2026-02-01,colazione,burro_arachidi_sgrassato,25,,foto
2026-02-01,colazione,noci,15,,foto
2026-02-01,pranzo,couscous,90,couscous con piselli e crema bianca; porzione standard assunta,foto
2026-02-01,pranzo,piselli_verdi,150,,foto
2026-02-01,pranzo,ricotta_vaccina,100,,foto
2026-02-02,pranzo,soia_granulare,70,"macinato vegetale con carote e spinaci, e una teglia di couscous con verdure; porzione standard assunta",foto
2026-02-02,pranzo,carote,100,,foto
2026-02-02,pranzo,spinaci,120,,foto
2026-02-02,pranzo,couscous,90,,foto
2026-02-03,colazione,uovo_intero,3,uova strapazzate con avocado e pane nero,foto
2026-02-03,colazione,avocado,100,,foto
2026-02-03,colazione,pane_segale,80,porzione standard assunta,foto
2026-02-04,colazione,uovo_intero,3,frittata sottile con avocado schiacciato e pane nero,foto
2026-02-04,colazione,avocado,100,,foto
2026-02-04,colazione,pane_segale,80,porzione standard assunta,foto
2026-02-04,pranzo,pane_bianco,80,due fette di pane con ceci sopra,foto
2026-02-04,pranzo,ceci_scatola,200,porzione standard assunta,foto
2026-02-05,pranzo,uovo_intero,3,"frittata di patate con broccoli, avocado, spinaci, limone e pane",foto
2026-02-05,pranzo,patate,200,porzione standard assunta,foto
2026-02-05,pranzo,broccoli,150,,foto
2026-02-05,pranzo,avocado,80,,foto
2026-02-05,pranzo,spinaci,100,,foto
2026-02-05,pranzo,pane_integrale,70,,foto
2026-02-05,cena,recipe:pizza_burrata_crudo,1,"pizza con crudo, rucola e burrata al ristorante Genesi",foto
2026-02-06,pranzo,lenticchie_secche,90,"zuppa densa di legumi con semi sopra, pane ai semi e focaccia a fianco; porzione standard assunta",foto
2026-02-06,pranzo,pane_segale,80,,foto
2026-02-06,pranzo,focaccia,60,,foto
2026-02-07,colazione,pane_integrale,80,avocado toast con uovo,foto
2026-02-07,colazione,avocado,100,,foto
2026-02-07,colazione,uovo_intero,2,,foto
2026-02-07,pranzo,farina_ceci,120,farinata di ceci in padella con funghi; porzione standard assunta,foto
2026-02-07,pranzo,funghi,100,,foto
2026-02-07,pranzo,olio_evo,10,,foto
