date,meal,food_id,qty,note,source
2024-07-24,cena,polenta_cotta,300,"piatto di polenta gialla con spezzatino di manzo in salsa scura, al ristorante; porzioni standard assunte",foto
2024-07-24,cena,carne_macinata_manzo,150,,foto
2024-07-24,cena,torta_cioccolato,100,fetta di torta scura al cioccolato con glassa; la scatola di brioche accanto e' materiale condiviso e non e' registrata,foto
2024-07-27,pranzo,pizza_margherita,1,pizza rossa con prosciutto crudo e un ciuffo bianco di mozzarella in centro; porzione standard assunta,foto
2024-07-27,pranzo,prosciutto_crudo,50,,foto
2024-07-27,cena,carne_macinata_manzo,150,polpette in salsa di pomodoro con stracciatella bianca e foglie di basilico su piatto singolo al ristorante,foto
2024-07-27,cena,passata_pomodoro,100,,foto
2024-07-27,cena,mozzarella,40,,foto
2024-07-28,colazione,cappuccino,1,tavolino al bar con latte macchiato e un piattino di croissant,foto
2024-07-28,colazione,croissant_vuoto,1,,foto
2024-07-28,pranzo,pasta_semola,120,piatto di spaghetti con ragu' di carne,foto
2024-07-28,pranzo,ragu_carne,130,,foto
2024-07-30,colazione,strudel_mele,120,fetta di dolce di sfoglia con mele e un bicchierone di bevanda scura con schiuma,foto
2024-07-30,colazione,cappuccino,1,,foto
2024-07-31,pranzo,bistecca_manzo,150,"piatto misto: straccetti di carne con funghi e cipolla, pure' bianco, un cereale sbriciolato, carote grattugiate e insalata",foto
2024-07-31,pranzo,funghi,60,,foto
2024-07-31,pranzo,patate,150,,foto
2024-07-31,pranzo,couscous,50,,foto
2024-07-31,pranzo,carote,50,,foto
2024-07-31,pranzo,insalata_mista,40,,foto
2024-08-01,pranzo,panino_farcito,1,hamburger nel panino con patate arrosto a cubetti e insalata,foto
2024-08-01,pranzo,patate,200,,foto
2024-08-01,pranzo,insalata_mista,50,,foto
2024-08-01,spuntino,frutti_di_bosco,200,frullatore pieno di una crema viola di frutti di bosco,foto
2024-08-01,spuntino,latte_ps,200,,foto
2024-08-02,cena,recipe:pizza_semplice,1,"pizza rossa con fettine rosa sottili, rucola e formaggio grattugiato, senza mozzarella",foto
2024-08-03,pranzo,focaccia,150,focaccia col pesto verde nella carta in spiaggia; il pesto non e' registrato perche' manca in foods.csv,foto
2024-08-03,cena,focaccia,120,trancio di focaccia col pesto verde davanti al tramonto,foto
2024-08-04,pranzo,focaccia,150,focaccia col pesto verde nella carta in spiaggia,foto
2024-08-05,pranzo,patate,200,"piatto con patate a cubetti, bocconcini dorati fritti, ceci con prezzemolo, fette di pomodoro e capperi",foto
2024-08-05,pranzo,polpette_legumi,120,,foto
2024-08-05,pranzo,ceci_scatola,200,,foto
2024-08-05,pranzo,pomodorini,50,,foto
2024-08-05,cena,patate_dolci,250,patate dolci a bastoncini al forno con uova strapazzate e salsa di pomodoro,foto
2024-08-05,cena,uovo_intero,3,,foto
2024-08-05,cena,passata_pomodoro,80,,foto
2024-08-06,colazione,torta_semplice,120,torta scura densa fatta in casa tagliata a fette con marmellata scura,foto
2024-08-06,colazione,marmellata_fragola,20,,foto
2024-08-06,cena,recipe:pizza_burrata_crudo,1,"pizza con prosciutto crudo, un ciuffo di burrata e olive nere",foto
2024-08-06,cena,olive,20,,foto
2024-08-07,cena,carote,200,piatto di carote arrosto a rondelle con cubetti di tofu e legumi verdi tondi,foto
2024-08-07,cena,tofu,150,,foto
2024-08-07,cena,piselli_verdi,200,,foto
2024-08-08,pranzo,patate_dolci,200,piatto con fette di patata dolce arrosto e ceci con verdure a foglia,foto
2024-08-08,pranzo,ceci_scatola,200,,foto
2024-08-08,pranzo,spinaci,100,,foto
2024-08-08,spuntino,torta_semplice,100,fetta di torta scura farcita di crema bianca e marmellata,foto
2024-08-08,spuntino,ricotta_vaccina,40,,foto
2024-08-08,spuntino,marmellata_fragola,20,,foto
2024-08-09,cena,avena_fiocchi,80,ciotola grande di crema viola ai frutti di bosco con fiocchi; ciotola individuale in una tavolata,foto
2024-08-09,cena,frutti_di_bosco,200,,foto
2024-08-09,cena,latte_ps,200,,foto
2024-08-09,spuntino,croissant_vuoto,1,grande brioche zuccherata con un latte macchiato al bar,foto
2024-08-09,spuntino,cappuccino,1,,foto
2024-08-10,colazione,avena_fiocchi,80,ciotola di fiocchi con frutti di bosco e frutta secca,foto
2024-08-10,colazione,frutti_di_bosco,100,,foto
2024-08-10,colazione,noci,20,,foto
2024-08-10,pranzo,panino_farcito,1,hamburger con patatine su vassoio individuale al ristorante,foto
2024-08-10,pranzo,patate,150,,foto
2024-08-11,colazione,torta_semplice,120,fetta di torta con cappuccino al bar di montagna,foto
2024-08-11,colazione,cappuccino,1,,foto
2024-08-11,pranzo,pane_segale,100,panino di pane scuro tenuto in mano lungo la strada; il ripieno non e' identificabile e non e' registrato,foto
2024-08-12,cena,patate_dolci,300,patate dolci a spicchi al forno con una montagna di ceci,foto
2024-08-12,cena,ceci_scatola,250,,foto
2024-08-13,spuntino,gelato_cono,150,cono gelato in mano accanto alla bici,foto
2024-08-13,cena,patate_dolci,250,"piatto con patate dolci a spicchi, ceci, verdure a foglia e sugo di pomodoro",foto
2024-08-13,cena,ceci_scatola,200,,foto
2024-08-13,cena,spinaci,80,,foto
2024-08-13,cena,passata_pomodoro,60,,foto
2024-08-14,pranzo,polenta_cotta,250,piatto di polenta gialla con stufato scuro al tavolo di un rifugio,foto
2024-08-14,pranzo,carne_macinata_manzo,130,,foto
2024-08-14,cena,ceci_scatola,250,ciotola di ceci con cubetti di pane tostato,foto
2024-08-14,cena,pane_integrale,60,,foto
