recipe_id,name,servings,food_id,qty,note
aloo_palak_ceci,Aloo Palak and Chickpeas,1,patate,400,
aloo_palak_ceci,Aloo Palak and Chickpeas,1,spinaci,300,
aloo_palak_ceci,Aloo Palak and Chickpeas,1,ceci_scatola,400,
aloo_palak_ceci,Aloo Palak and Chickpeas,1,cipolla,100,
aloo_palak_ceci,Aloo Palak and Chickpeas,1,olio_evo,15,
soia_messicana_fagioli_patate,Soia messicana con fagioli e patate dolci,1,soia_granulare,75,
soia_messicana_fagioli_patate,Soia messicana con fagioli e patate dolci,1,fagioli_neri_scatola,200,
soia_messicana_fagioli_patate,Soia messicana con fagioli e patate dolci,1,patate_dolci,400,
soia_messicana_fagioli_patate,Soia messicana con fagioli e patate dolci,1,passata_pomodoro,150,
soia_messicana_fagioli_patate,Soia messicana con fagioli e patate dolci,1,cipolla,80,
soia_messicana_fagioli_patate,Soia messicana con fagioli e patate dolci,1,olio_evo,10,
pasta_piselli_ricotta_spinaci,Pasta di piselli con ricotta e spinaci,1,pasta_piselli,100,
pasta_piselli_ricotta_spinaci,Pasta di piselli con ricotta e spinaci,1,ricotta_vaccina,100,
pasta_piselli_ricotta_spinaci,Pasta di piselli con ricotta e spinaci,1,spinaci,200,
pasta_piselli_ricotta_spinaci,Pasta di piselli con ricotta e spinaci,1,olio_evo,10,
ceci_curry_polenta,Chickpeas curry e polenta,1,ceci_scatola,400,
ceci_curry_polenta,Chickpeas curry e polenta,1,polenta_mais,100,
ceci_curry_polenta,Chickpeas curry e polenta,1,passata_pomodoro,150,
ceci_curry_polenta,Chickpeas curry e polenta,1,cipolla,80,
ceci_curry_polenta,Chickpeas curry e polenta,1,olio_evo,10,
farinata_lievito_spinaci,Farinata lievito nutrizionale e spinaci,1,farina_ceci,120,
farinata_lievito_spinaci,Farinata lievito nutrizionale e spinaci,1,lievito_nutrizionale,10,
farinata_lievito_spinaci,Farinata lievito nutrizionale e spinaci,1,spinaci,150,
farinata_lievito_spinaci,Farinata lievito nutrizionale e spinaci,1,olio_evo,10,
farinata_rosmarino_cipolla,Farinata rosmarino e cipolla,1,farina_ceci,120,
farinata_rosmarino_cipolla,Farinata rosmarino e cipolla,1,cipolla,100,
farinata_rosmarino_cipolla,Farinata rosmarino e cipolla,1,olio_evo,10,quantita' dichiarata da te
muffin_datteri_proteici,Datteri protein bread homemade muffin,1,avena_fiocchi,60,
muffin_datteri_proteici,Datteri protein bread homemade muffin,1,datteri,50,
